id,mailing_subject,status,sent_at,owner_region,owner_section,recipient_SPOIDs,recipient_OUs,submitter_name,event_id,event_url,Sent,Delivered,Bounced,Opened,
160521,Reminder: Thompson-Okanagan Section Exec and OK SB NY Meeting 2025,sent,2025-01-01 0:31:05,R7,R70043,R70043,Thompson Okanagan Section,Submitter 0022,455922,https://events.vtools.ieee.org/m/455922,255,255,0,133,
160564,Reminder: Received the prestigious IEEE SPS Chapter of the Year 2024 award!,sent,2025-01-01 0:31:07,R0,R00137,CH10802,"Kolkata Section Chapter, SP01",Submitter 0168,,,200,200,0,52,
160402,Reminder: [IMPORTANT] Register for Isb Section AGM | 17 Jan 2025,sent,2025-01-01 0:41:05,R0,R00091,R00091,Islamabad Section,Submitter 0760,,,344,344,0,183,
160604,Reminder: [IEEE Call for Papers] B-HTC 2025 | SDG11 – Sustainable Cities and Communities,sent,2025-01-01 0:41:07,R0,R00119,R001,India Council,Submitter 0117,,,84975,84794,181,17417,
160611,Reminder: Annual General Meeting 2025 of IEEE GRSS Bangalore Chapter,sent,2025-01-01 0:41:08,R0,R00119,CH10626,"Bangalore Section Chapter, GRS29",Submitter 0632,,,272,272,0,72,
160647,Reminder: Call for Expression of Interest: 2025 IEEE Computer Society—Bangladesh Chapter Election,sent,2025-01-01 0:41:09,R0,R00073,CH10813,"Bangladesh Section Chapter, C16",Submitter 0217,,,115,115,0,66,
160340,Reminder: Annual General Meeting 2025,sent,2025-01-01 1:01:13,R0,R00119,R00119,Bangalore Section,Submitter 1026,453598,https://events.vtools.ieee.org/m/453598,6588,6584,4,1308,
160788,Call for Voting: IEEE IAS SESAME SBC 2025-2026 Elections,sent,2025-01-01 1:21:07,R8,R80114,STB39451,SESAME University,Submitter 2206,,,99,99,0,31,
158988,IEEE Maine Section Newsletter - January 2025,sent,2025-01-01 1:51:09,R1,R10017,CH01217|HKN082|R10017,"New Hampshire/Green Mountain/Maine Jt Chap,EMB18|University of Maine,Delta Kappa|Maine Section",Submitter 1930,,,451,450,1,246,
160790,IEEE Seattle Section Election Results,sent,2025-01-01 1:51:11,R6,R60049,R60049,Seattle Section,Submitter 1199,,,3639,3636,3,1934,
160791,January 2025 ExCom Meeting,sent,2025-01-01 3:01:18,R1,R10327,R10327,North Jersey Section,Submitter 2314,457131,https://events.vtools.ieee.org/m/457131,1760,1757,3,884,
160793,Wishing You and Your Family a Very Happy New Year 2025,sent,2025-01-01 3:41:16,R0,R00123,R001,India Council,Submitter 0948,,,78984,78648,336,26226,
160753,IEEE CIS Winter School on Computational Intelligence and Generative AI at IIT Indore,sent,2025-01-01 3:51:05,R0,R00126,CH11061,"Madhya Pradesh Section,CIS11",Submitter 1976,454092,https://events.vtools.ieee.org/m/454092,33,33,0,13,
160794,3D Printing & Modelling for Robotics - Two Days Hands on Workshop,sent,2025-01-01 3:51:07,R0,R00149,CH10960,"Hyderabad Section Chapter,RA24",Submitter 1428,459811,https://events.vtools.ieee.org/m/459811,396,392,4,57,
160796,General meeting -- Twin Cities IEEE Computer Society,sent,2025-01-01 4:01:14,R4,R40041,CH04064,"Twin Cities Section Chapter, C16",Submitter 0202,459738,https://events.vtools.ieee.org/m/459738,220,220,0,114,
160797,3D Printing & Modelling for Robotics - Two Days Hands on Workshop,sent,2025-01-01 5:31:15,R0,R00149,CH10960,"Hyderabad Section Chapter,RA24",Submitter 1428,459811,https://events.vtools.ieee.org/m/459811,396,392,4,51,
160802,New Year Greetings,sent,2025-01-01 6:21:16,R0,R00145,R00145,Kerala Section,Submitter 0124,,,13805,13782,23,3751,
160804,2025 SSC SCV chapter officer election,sent,2025-01-01 8:01:41,R6,R60369,CH06184,"Santa Clara Valley Section Chapter, SSC37",Submitter 0797,,,722,722,0,410,
160760,IEEE SPS Bangalore Chapter Recap of 2024 and Plan for 2025,sent,2025-01-01 9:21:07,R0,R00119,CH10259,"Bangalore Section,SP01",Submitter 0402,,,1178,1178,0,292,
160806,Thank You and Welcome IEEE CAS BLR Chapter Execom 2025,sent,2025-01-01 9:51:12,R0,R00119,CH10321,"Bangalore Section Chapter, CAS04",Submitter 0309,,,2741,2740,1,750,
160809,New eNotice 01 Jan 2025 05:20 AM,sent,2025-01-01 11:01:26,R0,R00145,STB04811,Sree Chitra Thirunal College of Eng,Submitter 2309,,,163,163,0,41,
160801,Best Wishes for New Year 2025,sent,2025-01-01 12:31:02,R0,R00171,STB17561,"Tulas Institute, The Engg & Man Coll-Dehradun",Submitter 0826,,,80,79,1,30,
160811,New Year Greetings,sent,2025-01-01 13:51:10,R0,R00145,CH10074,"Kerala Section Jt. Chapter, IE13/IA34/PEL35",Submitter 1645,,,1800,1795,5,313,
160815,Documentary Night: Computer Pioneer - Grace Hopper,sent,2025-01-01 14:21:05,R4,R40035,R40035,Southeastern Michigan Section,Submitter 0012,456039,https://events.vtools.ieee.org/m/456039,2042,2041,1,1022,
160812,New eNotice 01 Jan 2025 07:40 AM,sent,2025-01-01 14:31:08,R8,R80114,STB10057,Higher Institute of Technological Studies of Rades,Submitter 0336,,,79,79,0,16,
