term,level,parent,term_family,full_path
Aerospace and electronic systems,0,,Aerospace and electronic systems,Aerospace and electronic systems
Aerospace control,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace control
Air traffic control,2,Aerospace control,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace control > Air traffic control
Attitude control,2,Aerospace control,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace control > Attitude control
Ground support,2,Aerospace control,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace control > Ground support
Aerospace engineering,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering
Aerospace biophysics,2,Aerospace engineering,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Aerospace biophysics
Aerospace electronics,2,Aerospace engineering,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Aerospace electronics
Aerospace safety,2,Aerospace engineering,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Aerospace safety
Air safety,3,Aerospace safety,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Aerospace safety > Air safety
Aerospace simulation,2,Aerospace engineering,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Aerospace simulation
Aerospace testing,2,Aerospace engineering,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Aerospace testing
Wind tunnels,3,Aerospace testing,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Aerospace testing > Wind tunnels
Artificial satellites,2,Aerospace engineering,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Artificial satellites
Earth Observing System,3,Artificial satellites,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Artificial satellites > Earth Observing System
Low earth orbit satellites,3,Artificial satellites,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Artificial satellites > Low earth orbit satellites
Military satellites,3,Artificial satellites,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Artificial satellites > Military satellites
Space stations,3,Artificial satellites,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Artificial satellites > Space stations
Space technology,2,Aerospace engineering,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Space technology
Payloads,3,Space technology,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Space technology > Payloads
Space debris,3,Space technology,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Space technology > Space debris
Space exploration,3,Space technology,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace engineering > Space technology > Space exploration
Aerospace materials,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace materials
Aerospace components,2,Aerospace materials,Aerospace and electronic systems,Aerospace and electronic systems > Aerospace materials > Aerospace components
Aircraft manufacture,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Aircraft manufacture
Aircraft navigation,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Aircraft navigation
Aircraft propulsion,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Aircraft propulsion
Propellers,2,Aircraft propulsion,Aerospace and electronic systems,Aerospace and electronic systems > Aircraft propulsion > Propellers
Command and control systems,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Command and control systems
Electronic warfare,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Electronic warfare
Electronic countermeasures,2,Electronic warfare,Aerospace and electronic systems,Aerospace and electronic systems > Electronic warfare > Electronic countermeasures
Jamming,2,Electronic warfare,Aerospace and electronic systems,Aerospace and electronic systems > Electronic warfare > Jamming
Radar countermeasures,2,Electronic warfare,Aerospace and electronic systems,Aerospace and electronic systems > Electronic warfare > Radar countermeasures
Military equipment,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Military equipment
Military aircraft,2,Military equipment,Aerospace and electronic systems,Aerospace and electronic systems > Military equipment > Military aircraft
Payloads,3,Military aircraft,Aerospace and electronic systems,Aerospace and electronic systems > Military equipment > Military aircraft > Payloads
Military satellites,2,Military equipment,Aerospace and electronic systems,Aerospace and electronic systems > Military equipment > Military satellites
Military vehicles,2,Military equipment,Aerospace and electronic systems,Aerospace and electronic systems > Military equipment > Military vehicles
Weapons,2,Military equipment,Aerospace and electronic systems,Aerospace and electronic systems > Military equipment > Weapons
Guns,3,Weapons,Aerospace and electronic systems,Aerospace and electronic systems > Military equipment > Weapons > Guns
Missiles,3,Weapons,Aerospace and electronic systems,Aerospace and electronic systems > Military equipment > Weapons > Missiles
Nuclear weapons,3,Weapons,Aerospace and electronic systems,Aerospace and electronic systems > Military equipment > Weapons > Nuclear weapons
Projectiles,3,Weapons,Aerospace and electronic systems,Aerospace and electronic systems > Military equipment > Weapons > Projectiles
Radar,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Radar
Airborne radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Airborne radar
Bistatic radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Bistatic radar
Cognitive radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Cognitive radar
Doppler radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Doppler radar
Ground penetrating radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Ground penetrating radar
High frequency radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > High frequency radar
Laser radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Laser radar
Meteorological radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Meteorological radar
Millimeter wave radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Millimeter wave radar
Multistatic radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Multistatic radar
MIMO radar,3,Multistatic radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Multistatic radar > MIMO radar
Passive radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Passive radar
Quantum radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Quantum radar
Radar applications,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications
Radar countermeasures,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar countermeasures
Radar detection,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar detection
Radar imaging,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar imaging
Radar measurements,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar measurements
Radar polarimetry,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar polarimetry
Radar remote sensing,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar remote sensing
Radar tracking,3,Radar applications,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar applications > Radar tracking
Radar clutter,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar clutter
Radar cross-sections,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar cross-sections
Radar equipment,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar equipment
Radar theory,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Radar theory
Spaceborne radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Spaceborne radar
Spread spectrum radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Spread spectrum radar
Synthetic aperture radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Synthetic aperture radar
Inverse synthetic aperture radar,3,Synthetic aperture radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Synthetic aperture radar > Inverse synthetic aperture radar
Polarimetric synthetic aperture radar,3,Synthetic aperture radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Synthetic aperture radar > Polarimetric synthetic aperture radar
Ultra wideband radar,2,Radar,Aerospace and electronic systems,Aerospace and electronic systems > Radar > Ultra wideband radar
Sensor systems,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Sensor systems
Activity recognition,2,Sensor systems,Aerospace and electronic systems,Aerospace and electronic systems > Sensor systems > Activity recognition
Gunshot detection systems,2,Sensor systems,Aerospace and electronic systems,Aerospace and electronic systems > Sensor systems > Gunshot detection systems
Sonar,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Sonar
Sonar applications,2,Sonar,Aerospace and electronic systems,Aerospace and electronic systems > Sonar > Sonar applications
Sonar detection,3,Sonar applications,Aerospace and electronic systems,Aerospace and electronic systems > Sonar > Sonar applications > Sonar detection
Sonar measurements,3,Sonar applications,Aerospace and electronic systems,Aerospace and electronic systems > Sonar > Sonar applications > Sonar measurements
Sonar equipment,2,Sonar,Aerospace and electronic systems,Aerospace and electronic systems > Sonar > Sonar equipment
Synthetic aperture sonar,2,Sonar,Aerospace and electronic systems,Aerospace and electronic systems > Sonar > Synthetic aperture sonar
Telemetry,1,Aerospace and electronic systems,Aerospace and electronic systems,Aerospace and electronic systems > Telemetry
Biomedical telemetry,2,Telemetry,Aerospace and electronic systems,Aerospace and electronic systems > Telemetry > Biomedical telemetry
Antennas and propagation,0,,Antennas and propagation,Antennas and propagation
Antennas,1,Antennas and propagation,Antennas and propagation,Antennas and propagation > Antennas
Antenna accessories,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Antenna accessories
Radomes,3,Antenna accessories,Antennas and propagation,Antennas and propagation > Antennas > Antenna accessories > Radomes
Antenna arrays,2,Antennas,Antennas and propagation,Antennas and propagation > Antennas > Antenna arrays
Adaptive arrays,3,Antenna arrays,Antennas and propagation,Antennas and propagation > Antennas > Antenna arrays > Adaptive arrays
Butler matrices,3,Antenna arrays,Antennas and propagation,Antennas and propagation > Antennas > Antenna arrays > Butler matrices
Linear antenna arrays,3,Antenna arrays,Antennas and propagation,Antennas and propagation > Antennas > Antenna arrays > Linear antenna arrays
